ORDERNUMBER;QUANTITYORDERED;PRICEEACH;ORDERLINENUMBER;SALES;ORDERDATE;STATUS;QTR_ID;MONTH_ID;YEAR_ID;PRODUCTLINE;MSRP;PRODUCTCODE;CUSTOMERNAME;PHONE;ADDRESSLINE1;ADDRESSLINE2;CITY;STATE;POSTALCODE;COUNTRY;TERRITORY;CONTACTLASTNAME;CONTACTFIRSTNAME;DEALSIZE
10425;38;99.41;7;3777.58;1/1/2022;In Process;2;5;2022;Trucks and Buses;122;S18_2319;La Rochelle Gifts;40.67.8555;67, rue des Cinquante Otages;;Nantes;;44000;France;EMEA;Labrune;Janine;Medium
10329;37;94.43;4;3493.91;1/1/2022;Shipped;4;11;2022;Motorcycles;76;S24_2000;Land of Toys Inc.;2125557818;897 Long Airport Avenue;;NYC;NY;10022;USA;NA;Yu;Kwai;Medium
10407;76;100;2;14082.8;2/1/2022;On Hold;2;4;2022;Vintage Cars;170;S18_1749;The Sharp Gifts Warehouse;4085553659;3086 Ingle Ln.;;San Jose;CA;94217;USA;NA;Frick;Sue;Large
10381;35;100;5;4288.2;2/1/2022;Shipped;1;2;2022;Vintage Cars;104;S18_3136;Corporate Gift Ideas Co.;6505551386;7734 Strong St.;;San Francisco;CA;;USA;NA;Brown;Julie;Medium
10340;39;59.16;3;2307.24;2/1/2022;Shipped;4;11;2022;Vintage Cars;68;S32_4289;Enaco Distributors;(93) 203 4555;Rambla de Catalu¤a, 23;;Barcelona;;8022;Spain;EMEA;Saavedra;Eduardo;Small
10284;33;51.93;5;1713.69;2/1/2022;Shipped;3;8;2022;Vintage Cars;43;S50_1341;Norway Gifts By Mail, Co.;+47 2212 1555;Drammensveien 126 A, PB 744 Sentrum;;Oslo;;N 0106;Norway;EMEA;Klaeboe;Jan;Small
10411;23;100;9;4140.23;3/1/2022;Shipped;2;5;2022;Classic Cars;214;S10_1949;Quebec Home Shopping Network;(514) 555-8054;43 rue St. Laurent;;Montreal;Quebec;H1J 1C3;Canada;NA;Fresnisre;Jean;Medium
10296;42;100;2;4296.6;3/1/2022;Shipped;3;9;2022;Planes;91;S700_1691;Bavarian Collectables Imports, Co.;+49 89 61 08 9555;Hansastr. 15;;Munich;;80686;Germany;EMEA;Donnermeyer;Michael;Medium
10388;50;100;3;7154.5;3/1/2022;Shipped;1;3;2022;Planes;118;S700_2834;FunGiftIdeas.com;5085552555;1785 First Street;;New Bedford;MA;50553;USA;NA;Benitez;Violeta;Large
10209;39;100;8;5197.92;4/1/2022;Shipped;1;1;2022;Classic Cars;136;S10_4757;Men 'R' US Retailers, Ltd.;2155554369;6047 Douglas Av.;;Los Angeles;CA;;USA;NA;Chandler;Michael;Medium
10135;23;87.31;11;2008.13;4/1/2022;Shipped;3;7;2022;Classic Cars;80;S24_4620;Mini Gifts Distributors Ltd.;4155551450;5677 Strong St.;;San Rafael;CA;97562;USA;NA;Nelson;Valarie;Small
10194;37;97.27;3;3598.99;4/1/2022;Shipped;4;11;2022;Trucks and Buses;96;S32_1268;Saveley & Henriot, Co.;78.32.5555;2, rue du Commerce;;Lyon;;69004;France;EMEA;Saveley;Mary;Medium
10192;27;100;16;3544.56;5/1/2022;Shipped;4;11;2022;Classic Cars;115;S12_4675;Online Diecast Creations Co.;6035558647;2304 Long Airport Avenue;;Nashua;NH;62005;USA;NA;Young;Valarie;Medium
10163;43;100;6;4991.44;5/1/2022;Shipped;4;10;2022;Vintage Cars;99;S18_3320;Classic Legends Inc.;2125558493;5905 Pompton St.;Suite 750;NYC;NY;10022;USA;NA;Hernandez;Maria;Medium
